#======= TRAJECTORY BEGIN: moves from between R2-R3 robot starting line to reef F
#----------------------------------------------------------------------------------------------
#======== way points:  X(abs),    Y(abs),    Angle(abs),   X(rel),     Y(rel),   Angle(rel),  Weight
#--------             meters,     meters,     radians,    meters,     meters,     radians,    scalar
#--------Waypoint:     7.061       2.461       3.142       0.000       0.000       0.000       0.200
#--------Waypoint:     5.380       2.811       2.897       1.681      -0.350      -0.244       0.200
#----------------------------------------------------------------------------------------------
#========Robot Configuration
#--------Maximum Velocity:          0.60960  m/s
#--------Maximum Acceleration:      0.91440  m/s^2
#--------Start Velocity:            0.00000  m/s
#--------End Velocity:              0.00000  m/s
#--------Trajectory Reversed:  FALSE
#----------------------------------------------------------------------------------------------
#========Differential Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          0.60960  m/s
#--------Track width:               0.73660  m
#----------------------------------------------------------------------------------------------
#========Differential Drive Voltage Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Centripetal Acceleration Constraint
#--------Configured:           Yes
#--------Maximum Centripetal Acceleration:      0.60960  m/s^2
#----------------------------------------------------------------------------------------------
#========Mecanum Drive Kinematics Constraint
#--------Configured:           No
#----------------------------------------------------------------------------------------------
#========Swerve Drive Kinematics Constraint
#--------Configured:           Yes
#--------Maximum Velocity:          0.60960  m/s
#--------Modules count:             4   
#--------Module   1 X:              0.01270  m
#--------Module   1 Y:             -0.01270  m
#--------Module   2 X:              0.01270  m
#--------Module   2 Y:              0.01270  m
#--------Module   3 X:             -0.01270  m
#--------Module   3 Y:              0.01270  m
#--------Module   4 X:             -0.01270  m
#--------Module   4 Y:             -0.01270  m
#----------------------------------------------------------------------------------------------
#========Trajectory Creation 
#--------Spline type:            Cubic
#--------Trajectory orientation: Absolute
#--------Use Waypoint Weights:   Yes
#----------------------------------------------------------------------------------------------
#-- Time,       Velocity,   Accel,      X pos,      Y pos,      Heading, Curvature, Comment
#-- Seconds,    m/s,        m/s^2,      m,          m,          radians,    radians/meter,
   0.00000,    0.00000,    0.91440,    7.06120,    2.46119,    3.14159,  -50.06084,Segment:  1
   0.06333,    0.05791,    0.91440,    7.05937,    2.46125,    3.08394,  -20.17035,Segment:  2
   0.09593,    0.08772,    0.91440,    7.05700,    2.46143,    3.05037,  -10.03653,Segment:  3
   0.15192,    0.13891,    0.91440,    7.05070,    2.46215,    3.01304,   -3.55264,Segment:  4
   0.25362,    0.23191,    0.91440,    7.03205,    2.46494,    2.98007,   -0.90550,Segment:  5
   0.44344,    0.40548,    0.91440,    6.97249,    2.47556,    2.95637,   -0.18223,Segment:  6
   0.62238,    0.56911,    0.17675,    6.88688,    2.49209,    2.94683,   -0.06767,Segment:  7
   0.80929,    0.60214,    0.01761,    6.77955,    2.51359,    2.94166,   -0.03363,Segment:  8
   0.91158,    0.60394,    0.01120,    6.71911,    2.52590,    2.93985,   -0.02543,Segment:  9
   1.02006,    0.60516,    0.00746,    6.65486,    2.53909,    2.93838,   -0.01993,Segment:  10
   1.13388,    0.60601,    0.00515,    6.58736,    2.55304,    2.93715,   -0.01610,Segment:  11
   1.25215,    0.60662,    0.00367,    6.51715,    2.56764,    2.93610,   -0.01335,Segment:  12
   1.37400,    0.60706,    0.00266,    6.44478,    2.58276,    2.93519,   -0.01134,Segment:  13
   1.49852,    0.60740,    0.00196,    6.37078,    2.59828,    2.93439,   -0.00986,Segment:  14
   1.62482,    0.60764,    0.00144,    6.29569,    2.61410,    2.93368,   -0.00875,Segment:  15
   1.75199,    0.60783,    0.00104,    6.22007,    2.63008,    2.93304,   -0.00792,Segment:  16
   1.87914,    0.60796,    0.00070,    6.14446,    2.64610,    2.93245,   -0.00733,Segment:  17
   2.00536,    0.60805,    0.00040,    6.06940,    2.66206,    2.93190,   -0.00694,Segment:  18
   2.12974,    0.60810,    0.00008,    5.99542,    2.67782,    2.93139,   -0.00671,Segment:  19
   2.25138,    0.60811,   -0.00028,    5.92309,    2.69327,    2.93089,   -0.00667,Segment:  20
   2.36937,    0.60807,   -0.00076,    5.85293,    2.70829,    2.93041,   -0.00682,Segment:  21
   2.48280,    0.60799,   -0.00147,    5.78550,    2.72277,    2.92993,   -0.00721,Segment:  22
   2.59077,    0.60783,   -0.00261,    5.72133,    2.73657,    2.92943,   -0.00792,Segment:  23
   2.69238,    0.60756,   -0.20234,    5.66097,    2.74959,    2.92891,   -0.00911,Segment:  24
   2.87854,    0.56989,   -0.91440,    5.55385,    2.77278,    2.92768,   -0.01439,Segment:  25
   3.05755,    0.40621,   -0.91440,    5.46849,    2.79140,    2.92585,   -0.03238,Segment:  26
   3.50179,    0.00000,   -0.91440,    5.38044,    2.81106,    2.89712,   -7.68074,Segment:  27
#======= TRAJECTORY END: moves from between R2-R3 robot starting line to reef F
